color,team_id,team_name,parent_city,level
1,T03,温州市,温州市,city
1,T12,建德市,杭州市,county
1,T15,余姚市,宁波市,county
1,T27,海宁市,嘉兴市,county
1,T32,德清县,湖州市,county
1,T35,诸暨市,绍兴市,county
1,T38,兰溪市,金华市,county
1,T45,江山市,衢州市,county
1,T49,岱山县,舟山市,county
1,T51,温岭市,台州市,county
1,T57,龙泉市,丽水市,county
2,T11,丽水市,丽水市,city
2,T13,桐庐县,杭州市,county
2,T16,慈溪市,宁波市,county
2,T19,瑞安市,温州市,county
2,T28,平湖市,嘉兴市,county
2,T33,长兴县,湖州市,county
2,T36,嵊州市,绍兴市,county
2,T39,义乌市,金华市,county
2,T46,常山县,衢州市,county
2,T50,嵊泗县,舟山市,county
2,T52,临海市,台州市,county
3,T07,金华市,金华市,city
3,T14,淳安县,杭州市,county
3,T17,象山县,宁波市,county
3,T20,乐清市,温州市,county
3,T29,桐乡市,嘉兴市,county
3,T34,安吉县,湖州市,county
3,T37,新昌县,绍兴市,county
3,T47,开化县,衢州市,county
3,T53,玉环市,台州市,county
3,T58,青田县,丽水市,county
4,T10,台州市,台州市,city
4,T18,宁海县,宁波市,county
4,T21,龙港市,温州市,county
4,T30,嘉善县,嘉兴市,county
4,T40,东阳市,金华市,county
4,T48,龙游县,衢州市,county
4,T59,缙云县,丽水市,county
5,T04,嘉兴市,嘉兴市,city
5,T22,永嘉县,温州市,county
5,T41,永康市,金华市,county
5,T54,三门县,台州市,county
5,T60,遂昌县,丽水市,county
6,T02,宁波市,宁波市,city
6,T23,平阳县,温州市,county
6,T31,海盐县,嘉兴市,county
6,T42,武义县,金华市,county
6,T55,天台县,台州市,county
6,T61,松阳县,丽水市,county
7,T08,衢州市,衢州市,city
7,T24,苍南县,温州市,county
7,T43,浦江县,金华市,county
7,T56,仙居县,台州市,county
7,T62,云和县,丽水市,county
8,T01,杭州市,杭州市,city
8,T25,文成县,温州市,county
8,T44,磐安县,金华市,county
8,T63,庆元县,丽水市,county
9,T05,湖州市,湖州市,city
9,T26,泰顺县,温州市,county
9,T64,景宁畲族自治县,丽水市,county
10,T06,绍兴市,绍兴市,city
11,T09,舟山市,舟山市,city
