group,slot,team_id,team_name,level,parent_city,region
G01,1,T22,永嘉县,county,温州市,浙南
G01,2,T58,青田县,county,丽水市,浙西南
G01,3,T14,淳安县,county,杭州市,浙北
G01,4,T39,义乌市,county,金华市,浙中
G02,1,T47,开化县,county,衢州市,浙西
G02,2,T61,松阳县,county,丽水市,浙西南
G02,3,T18,宁海县,county,宁波市,浙东
G02,4,T49,岱山县,county,舟山市,浙东
G03,1,T03,温州市,city,温州市,浙南
G03,2,T36,嵊州市,county,绍兴市,浙东
G03,3,T63,庆元县,county,丽水市,浙西南
G03,4,T44,磐安县,county,金华市,浙中
G04,1,T08,衢州市,city,衢州市,浙西
G04,2,T60,遂昌县,county,丽水市,浙西南
G04,3,T54,三门县,county,台州市,浙南
G04,4,T23,平阳县,county,温州市,浙南
G05,1,T34,安吉县,county,湖州市,浙北
G05,2,T40,东阳市,county,金华市,浙中
G05,3,T48,龙游县,county,衢州市,浙西
G05,4,T57,龙泉市,county,丽水市,浙西南
G06,1,T04,嘉兴市,city,嘉兴市,浙北
G06,2,T26,泰顺县,county,温州市,浙南
G06,3,T45,江山市,county,衢州市,浙西
G06,4,T37,新昌县,county,绍兴市,浙东
G07,1,T25,文成县,county,温州市,浙南
G07,2,T33,长兴县,county,湖州市,浙北
G07,3,T16,慈溪市,county,宁波市,浙东
G07,4,T01,杭州市,city,杭州市,浙北
G08,1,T41,永康市,county,金华市,浙中
G08,2,T46,常山县,county,衢州市,浙西
G08,3,T06,绍兴市,city,绍兴市,浙东
G08,4,T19,瑞安市,county,温州市,浙南
G09,1,T21,龙港市,county,温州市,浙南
G09,2,T30,嘉善县,county,嘉兴市,浙北
G09,3,T51,温岭市,county,台州市,浙南
G09,4,T07,金华市,city,金华市,浙中
G10,1,T43,浦江县,county,金华市,浙中
G10,2,T24,苍南县,county,温州市,浙南
G10,3,T31,海盐县,county,嘉兴市,浙北
G10,4,T10,台州市,city,台州市,浙南
G11,1,T11,丽水市,city,丽水市,浙西南
G11,2,T52,临海市,county,台州市,浙南
G11,3,T28,平湖市,county,嘉兴市,浙北
G11,4,T38,兰溪市,county,金华市,浙中
G12,1,T27,海宁市,county,嘉兴市,浙北
G12,2,T09,舟山市,city,舟山市,浙东
G12,3,T15,余姚市,county,宁波市,浙东
G12,4,T32,德清县,county,湖州市,浙北
G13,1,T20,乐清市,county,温州市,浙南
G13,2,T62,云和县,county,丽水市,浙西南
G13,3,T42,武义县,county,金华市,浙中
G13,4,T29,桐乡市,county,嘉兴市,浙北
G14,1,T55,天台县,county,台州市,浙南
G14,2,T12,建德市,county,杭州市,浙北
G14,3,T02,宁波市,city,宁波市,浙东
G14,4,T50,嵊泗县,county,舟山市,浙东
G15,1,T59,缙云县,county,丽水市,浙西南
G15,2,T56,仙居县,county,台州市,浙南
G15,3,T05,湖州市,city,湖州市,浙北
G15,4,T13,桐庐县,county,杭州市,浙北
G16,1,T64,景宁畲族自治县,county,丽水市,浙西南
G16,2,T17,象山县,county,宁波市,浙东
G16,3,T53,玉环市,county,台州市,浙南
G16,4,T35,诸暨市,county,绍兴市,浙东
