pool_id,source_scheme_id,group,teams,topsis_score
P0001,S0006,G01,龙游县、义乌市、三门县、松阳县,0.678442
P0001,S0006,G02,龙泉市、磐安县、苍南县、长兴县,0.678442
P0001,S0006,G03,淳安县、慈溪市、台州市、永康市,0.678442
P0001,S0006,G04,平湖市、龙港市、浦江县、诸暨市,0.678442
P0001,S0006,G05,湖州市、温岭市、海盐县、嵊泗县,0.678442
P0001,S0006,G06,开化县、温州市、东阳市、遂昌县,0.678442
P0001,S0006,G07,武义县、玉环市、嵊州市、德清县,0.678442
P0001,S0006,G08,天台县、缙云县、金华市、平阳县,0.678442
P0001,S0006,G09,舟山市、景宁畲族自治县、桐乡市、乐清市,0.678442
P0001,S0006,G10,绍兴市、桐庐县、瑞安市、宁海县,0.678442
P0001,S0006,G11,丽水市、永嘉县、临海市、嘉善县,0.678442
P0001,S0006,G12,建德市、泰顺县、青田县、嘉兴市,0.678442
P0001,S0006,G13,衢州市、新昌县、海宁市、仙居县,0.678442
P0001,S0006,G14,余姚市、庆元县、安吉县、常山县,0.678442
P0001,S0006,G15,江山市、兰溪市、宁波市、云和县,0.678442
P0001,S0006,G16,岱山县、杭州市、文成县、象山县,0.678442
P0002,S0001,G01,杭州市、江山市、泰顺县、东阳市,0.671207
P0002,S0001,G02,宁波市、三门县、遂昌县、淳安县,0.671207
P0002,S0001,G03,温州市、青田县、开化县、建德市,0.671207
P0002,S0001,G04,嘉兴市、永康市、景宁畲族自治县、平阳县,0.671207
P0002,S0001,G05,湖州市、义乌市、云和县、温岭市,0.671207
P0002,S0001,G06,绍兴市、桐乡市、桐庐县、磐安县,0.671207
P0002,S0001,G07,金华市、庆元县、嘉善县、仙居县,0.671207
P0002,S0001,G08,衢州市、天台县、象山县、龙泉市,0.671207
P0002,S0001,G09,舟山市、临海市、德清县、永嘉县,0.671207
P0002,S0001,G10,台州市、海盐县、宁海县、苍南县,0.671207
P0002,S0001,G11,丽水市、文成县、海宁市、新昌县,0.671207
P0002,S0001,G12,松阳县、乐清市、浦江县、嵊泗县,0.671207
P0002,S0001,G13,龙游县、兰溪市、玉环市、嵊州市,0.671207
P0002,S0001,G14,瑞安市、诸暨市、武义县、长兴县,0.671207
P0002,S0001,G15,常山县、余姚市、安吉县、缙云县,0.671207
P0002,S0001,G16,龙港市、平湖市、岱山县、慈溪市,0.671207
P0003,S0009,G01,青田县、临海市、象山县、温州市,0.659779
P0003,S0009,G02,宁波市、松阳县、永康市、德清县,0.659779
P0003,S0009,G03,温岭市、桐乡市、岱山县、东阳市,0.659779
P0003,S0009,G04,台州市、云和县、文成县、宁海县,0.659779
P0003,S0009,G05,天台县、庆元县、嘉善县、衢州市,0.659779
P0003,S0009,G06,永嘉县、长兴县、舟山市、浦江县,0.659779
P0003,S0009,G07,武义县、乐清市、景宁畲族自治县、诸暨市,0.659779
P0003,S0009,G08,平阳县、开化县、义乌市、海宁市,0.659779
P0003,S0009,G09,杭州市、玉环市、磐安县、泰顺县,0.659779
P0003,S0009,G10,仙居县、嵊泗县、慈溪市、安吉县,0.659779
P0003,S0009,G11,桐庐县、常山县、新昌县、龙泉市,0.659779
P0003,S0009,G12,湖州市、建德市、嵊州市、平湖市,0.659779
P0003,S0009,G13,余姚市、丽水市、淳安县、苍南县,0.659779
P0003,S0009,G14,海盐县、缙云县、绍兴市、龙港市,0.659779
P0003,S0009,G15,江山市、兰溪市、嘉兴市、三门县,0.659779
P0003,S0009,G16,瑞安市、龙游县、金华市、遂昌县,0.659779
P0004,S0017,G01,青田县、永康市、龙港市、仙居县,0.654558
P0004,S0017,G02,开化县、永嘉县、嘉善县、磐安县,0.654558
P0004,S0017,G03,杭州市、景宁畲族自治县、兰溪市、泰顺县,0.654558
P0004,S0017,G04,淳安县、缙云县、三门县、温州市,0.654558
P0004,S0017,G05,舟山市、龙游县、龙泉市、温岭市,0.654558
P0004,S0017,G06,岱山县、松阳县、玉环市、衢州市,0.654558
P0004,S0017,G07,金华市、海盐县、遂昌县、诸暨市,0.654558
P0004,S0017,G08,武义县、丽水市、长兴县、临海市,0.654558
P0004,S0017,G09,湖州市、东阳市、常山县、文成县,0.654558
P0004,S0017,G10,台州市、桐乡市、建德市、余姚市,0.654558
P0004,S0017,G11,安吉县、象山县、庆元县、嘉兴市,0.654558
P0004,S0017,G12,乐清市、天台县、嵊泗县、浦江县,0.654558
P0004,S0017,G13,平阳县、宁波市、江山市、云和县,0.654558
P0004,S0017,G14,海宁市、新昌县、宁海县、瑞安市,0.654558
P0004,S0017,G15,平湖市、义乌市、嵊州市、桐庐县,0.654558
P0004,S0017,G16,慈溪市、绍兴市、德清县、苍南县,0.654558
P0005,S0025,G01,遂昌县、湖州市、玉环市、江山市,0.653633
P0005,S0025,G02,宁波市、泰顺县、松阳县、常山县,0.653633
P0005,S0025,G03,瑞安市、余姚市、义乌市、绍兴市,0.653633
P0005,S0025,G04,衢州市、永嘉县、东阳市、缙云县,0.653633
P0005,S0025,G05,温州市、景宁畲族自治县、磐安县、长兴县,0.653633
P0005,S0025,G06,建德市、桐乡市、温岭市、舟山市,0.653633
P0005,S0025,G07,嵊州市、嘉兴市、德清县、淳安县,0.653633
P0005,S0025,G08,龙游县、平湖市、兰溪市、平阳县,0.653633
P0005,S0025,G09,乐清市、嘉善县、宁海县、云和县,0.653633
P0005,S0025,G10,金华市、龙泉市、诸暨市、嵊泗县,0.653633
P0005,S0025,G11,丽水市、永康市、桐庐县、龙港市,0.653633
P0005,S0025,G12,临海市、慈溪市、海宁市、庆元县,0.653633
P0005,S0025,G13,象山县、安吉县、台州市、开化县,0.653633
P0005,S0025,G14,苍南县、岱山县、三门县、新昌县,0.653633
P0005,S0025,G15,文成县、天台县、青田县、武义县,0.653633
P0005,S0025,G16,浦江县、海盐县、仙居县、杭州市,0.653633
P0006,S0030,G01,开化县、缙云县、淳安县、乐清市,0.643017
P0006,S0030,G02,宁海县、三门县、嵊州市、庆元县,0.643017
P0006,S0030,G03,温州市、建德市、景宁畲族自治县、东阳市,0.643017
P0006,S0030,G04,嘉兴市、松阳县、兰溪市、永嘉县,0.643017
P0006,S0030,G05,平阳县、义乌市、桐乡市、台州市,0.643017
P0006,S0030,G06,海盐县、江山市、绍兴市、桐庐县,0.643017
P0006,S0030,G07,泰顺县、杭州市、浦江县、嵊泗县,0.643017
P0006,S0030,G08,龙港市、温岭市、龙泉市、舟山市,0.643017
P0006,S0030,G09,湖州市、岱山县、海宁市、文成县,0.643017
P0006,S0030,G10,遂昌县、武义县、瑞安市、天台县,0.643017
P0006,S0030,G11,金华市、德清县、龙游县、玉环市,0.643017
P0006,S0030,G12,永康市、诸暨市、常山县、象山县,0.643017
P0006,S0030,G13,云和县、苍南县、安吉县、衢州市,0.643017
P0006,S0030,G14,青田县、磐安县、宁波市、仙居县,0.643017
P0006,S0030,G15,长兴县、平湖市、丽水市、慈溪市,0.643017
P0006,S0030,G16,新昌县、余姚市、临海市、嘉善县,0.643017
P0007,S0026,G01,龙泉市、嵊泗县、常山县、武义县,0.641129
P0007,S0026,G02,东阳市、泰顺县、缙云县、慈溪市,0.641129
P0007,S0026,G03,温州市、余姚市、磐安县、临海市,0.641129
P0007,S0026,G04,文成县、安吉县、桐乡市、舟山市,0.641129
P0007,S0026,G05,湖州市、三门县、龙游县、宁海县,0.641129
P0007,S0026,G06,诸暨市、松阳县、海宁市、苍南县,0.641129
P0007,S0026,G07,宁波市、德清县、平湖市、新昌县,0.641129
P0007,S0026,G08,景宁畲族自治县、仙居县、衢州市、永嘉县,0.641129
P0007,S0026,G09,淳安县、义乌市、江山市、嘉兴市,0.641129
P0007,S0026,G10,台州市、浦江县、长兴县、嘉善县,0.641129
P0007,S0026,G11,天台县、云和县、海盐县、绍兴市,0.641129
P0007,S0026,G12,岱山县、瑞安市、丽水市、兰溪市,0.641129
P0007,S0026,G13,建德市、玉环市、金华市、青田县,0.641129
P0007,S0026,G14,龙港市、桐庐县、永康市、象山县,0.641129
P0007,S0026,G15,杭州市、开化县、遂昌县、平阳县,0.641129
P0007,S0026,G16,庆元县、乐清市、温岭市、嵊州市,0.641129
P0008,S0016,G01,常山县、慈溪市、平阳县、永康市,0.639213
P0008,S0016,G02,兰溪市、文成县、海盐县、绍兴市,0.639213
P0008,S0016,G03,庆元县、浦江县、淳安县、江山市,0.639213
P0008,S0016,G04,缙云县、海宁市、安吉县、天台县,0.639213
P0008,S0016,G05,温州市、德清县、象山县、诸暨市,0.639213
P0008,S0016,G06,湖州市、龙泉市、温岭市、磐安县,0.639213
P0008,S0016,G07,建德市、武义县、嵊泗县、玉环市,0.639213
P0008,S0016,G08,衢州市、龙港市、青田县、长兴县,0.639213
P0008,S0016,G09,舟山市、临海市、嘉善县、义乌市,0.639213
P0008,S0016,G10,杭州市、龙游县、东阳市、泰顺县,0.639213
P0008,S0016,G11,丽水市、平湖市、瑞安市、仙居县,0.639213
P0008,S0016,G12,三门县、嘉兴市、新昌县、余姚市,0.639213
P0008,S0016,G13,台州市、永嘉县、云和县、嵊州市,0.639213
P0008,S0016,G14,遂昌县、金华市、乐清市、开化县,0.639213
P0008,S0016,G15,松阳县、苍南县、岱山县、宁波市,0.639213
P0008,S0016,G16,景宁畲族自治县、宁海县、桐乡市、桐庐县,0.639213
P0009,S0021,G01,杭州市、永康市、龙港市、嵊泗县,0.638277
P0009,S0021,G02,江山市、淳安县、慈溪市、海宁市,0.638277
P0009,S0021,G03,衢州市、武义县、余姚市、德清县,0.638277
P0009,S0021,G04,岱山县、仙居县、丽水市、浦江县,0.638277
P0009,S0021,G05,义乌市、台州市、海盐县、宁海县,0.638277
P0009,S0021,G06,湖州市、永嘉县、桐乡市、新昌县,0.638277
P0009,S0021,G07,舟山市、平阳县、安吉县、临海市,0.638277
