市县名称,土地面积 (平方公里),年末常住人口 (万人),生产总值 （亿元,第一产业,第二产业,第三产业,工业,人均生产总值 (元),社会消费品零售总额 （亿元）,财政总收入 (亿元),一般公共预算收入 （亿元）,一般公共预算支出 （亿元,住户存款年末余额 (亿元),城镇居民人均可支配收入 (元),农村居民人均可支配收入 (元)
上城区,,139.00,2668.48,,621.95,2046.53,494.81,193298,1106.95,460.82,244.94,155.32,,82665,
拱墅区,,118.80,2091.48,,193.4,1898.09,124.99,176870,1363.87,359.39,199.18,132.23,,83039,
西湖区,,117.10,2087.38,3.52,144.61,1939.26,104.65,178561,906.26,449.64,233.78,169.29,,86521,
滨江区,,54.30,2467.92,0.55,923.95,1543.42,906.91,460003,568.16,462.46,242.14,181.88,,83205,
萧山区,,214.00,2230.69,57.05,823.95,1349.68,730.26,104974,1006.21,566.91,332.00,328.16,3485.08,81655,52719
余杭区,,140.50,2936.43,41.65,327.97,2566.81,281.44,212093,826.33,801.57,416.68,351.38,1477.91,84528,55223
临平区,,112.70,1067.27,16.8,557.27,493.19,526.67,95505,392.27,253.79,144.68,200.17,1413.96,82311,52610
钱塘区,,80.20,1270.39,12.78,824.37,433.24,772.07,158898,340.42,247.63,127.08,143.73,,82520,57525
富阳区,,85.70,960.88,53.37,405.29,502.21,346.96,112515,444.44,165.18,100.54,137.62,1049.38,74899,47653
临安区,,65.20,686.45,47.18,339.11,300.16,300.26,105608,246.18,141.25,87.60,105.68,776.23,70235,44682
桐庐县,1829,45.90,469.23,28.56,214.69,225.98,170.57,102340,173.85,78.89,45.03,72.80,578.19,67232,42843
淳安县,4418,32.10,280.49,44.46,75.94,160.10,47.75,86840,109.42,46.89,26.99,89.41,337.27,57548,27856
建德市,2314,44.30,450.11,39.58,213.77,196.76,177.16,101261,136.01,79.22,47.59,87.42,539.15,64531,38129
海曙区,595,106.53,1646.91,17.53,422.07,1207.30,338.94,155149,902.89,218.51,129.45,139.11,1810.09,85481,49550
江北区,208,51.32,910.17,8.97,298.41,602.79,250.91,179167,465.33,188.33,108.86,100.31,909.33,82850,51094
北仑区,599,89.38,2729.18,9.11,1232.58,1487.48,1164.51,307860,465.67,813.41,413.48,377.06,1071.57,82322,50622
镇海区,246,52.25,1420.04,7.49,973.19,439.36,911.49,273610,200.32,148.26,90.91,115.10,791.09,84527,50186
鄞州区,814,168.99,2803.35,31.22,790.17,1981.96,647.03,167264,1113.54,509.52,305.50,263.04,3197.96,88388,53273
