pool_id,source_scheme_id,topsis_score,hard_violations,same_city_repeat_index,pair_conflict_index,admin_diversity,sport_variance,sport_range,competition_suspense,hot_match_index,eco_cv,pop_cv,tour_cv,avg_inner_distance_km,geo_cover,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16
P0001,S1432,0.609211407226,0,0.000000000000,0.000000000000,4.000000000000,714.701138525553,104.560135436468,0.161468503243,754.410142267492,0.781738241649,0.609103267999,0.302626534221,175.189806519209,3.312500000000,杭州市、苍南县、玉环市、开化县,宁波市、安吉县、遂昌县、岱山县,温州市、临海市、庆元县、东阳市,嘉兴市、泰顺县、建德市、江山市,湖州市、瑞安市、青田县、常山县,绍兴市、温岭市、宁海县、义乌市,金华市、龙港市、云和县、龙游县,衢州市、三门县、景宁畲族自治县、永康市,舟山市、永嘉县、缙云县、磐安县,台州市、平阳县、余姚市、兰溪市,丽水市、长兴县、淳安县、浦江县,嘉善县、乐清市、象山县、嵊泗县,海宁市、天台县、桐庐县、诸暨市,海盐县、德清县、松阳县、新昌县,桐乡市、文成县、慈溪市、嵊州市,平湖市、仙居县、龙泉市、武义县
P0002,S2789,0.596021236154,0,0.000000000000,0.000000000000,4.000000000000,920.337733797299,121.883895925065,0.145020396202,770.407200120392,0.746119472135,0.551533858656,0.406780603986,166.495051778866,3.250000000000,杭州市、武义县、景宁畲族自治县、龙游县,宁波市、龙港市、建德市、开化县,温州市、磐安县、遂昌县、天台县,嘉兴市、淳安县、嵊州市、安吉县,湖州市、海宁市、温岭市、江山市,绍兴市、苍南县、仙居县、德清县,金华市、平湖市、桐庐县、象山县,衢州市、海盐县、青田县、岱山县,舟山市、桐乡市、新昌县、慈溪市,台州市、永康市、长兴县、宁海县,丽水市、平阳县、诸暨市、余姚市,泰顺县、东阳市、云和县、临海市,文成县、兰溪市、缙云县、常山县,瑞安市、浦江县、庆元县、三门县,乐清市、义乌市、松阳县、嵊泗县,永嘉县、嘉善县、龙泉市、玉环市
P0003,S2621,0.593597739452,0,0.000000000000,0.000000000000,4.000000000000,626.655560274347,89.172612666405,0.141299864593,766.457781536867,0.785441573239,0.599011230121,0.360260348281,175.836945529296,3.437500000000,杭州市、德清县、文成县、新昌县,宁波市、兰溪市、松阳县、天台县,温州市、长兴县、云和县、临海市,嘉兴市、义乌市、遂昌县、嵊州市,湖州市、余姚市、海宁市、淳安县,绍兴市、永康市、瑞安市、建德市,金华市、安吉县、龙泉市、诸暨市,衢州市、磐安县、缙云县、嘉善县,舟山市、慈溪市、庆元县、仙居县,台州市、苍南县、海盐县、岱山县,丽水市、平阳县、桐乡市、玉环市,龙游县、东阳市、泰顺县、温岭市,江山市、浦江县、永嘉县、三门县,开化县、武义县、青田县、嵊泗县,宁海县、龙港市、景宁畲族自治县、桐庐县,常山县、象山县、乐清市、平湖市
P0004,S2285,0.590406598183,0,0.000000000000,0.000000000000,4.000000000000,562.122950422165,81.072093214681,0.123004966452,761.826529663920,0.779698030031,0.583074269965,0.362967094863,168.134280127655,3.312500000000,杭州市、浦江县、遂昌县、龙游县,宁波市、安吉县、嘉善县、三门县,温州市、余姚市、德清县、海盐县,嘉兴市、泰顺县、庆元县、江山市,湖州市、文成县、岱山县、嵊州市,绍兴市、乐清市、淳安县、平湖市,金华市、慈溪市、松阳县、临海市,衢州市、兰溪市、桐庐县、仙居县,舟山市、宁海县、青田县、常山县,台州市、象山县、景宁畲族自治县、新昌县,丽水市、永嘉县、桐乡市、天台县,磐安县、瑞安市、嵊泗县、温岭市,义乌市、龙港市、缙云县、诸暨市,永康市、长兴县、建德市、海宁市,东阳市、平阳县、龙泉市、玉环市,武义县、苍南县、云和县、开化县
P0005,S2045,0.588632873526,0,0.000000000000,0.000000000000,4.000000000000,757.018917863838,102.406265674033,0.134546642441,750.822941461511,0.770255940005,0.601201765485,0.330400282712,165.744977353078,3.250000000000,杭州市、龙泉市、常山县、温岭市,宁波市、桐庐县、江山市、安吉县,温州市、遂昌县、开化县、义乌市,嘉兴市、青田县、龙港市、仙居县,湖州市、庆元县、平湖市、玉环市,绍兴市、建德市、平阳县、武义县,金华市、缙云县、乐清市、天台县,衢州市、松阳县、瑞安市、永康市,舟山市、慈溪市、泰顺县、长兴县,台州市、云和县、苍南县、兰溪市,丽水市、淳安县、嘉善县、浦江县,诸暨市、象山县、文成县、三门县,岱山县、余姚市、海宁市、东阳市,新昌县、景宁畲族自治县、永嘉县、磐安县,嵊泗县、宁海县、海盐县、德清县,嵊州市、桐乡市、龙游县、临海市
P0006,S1126,0.588235073748,0,0.000000000000,0.000000000000,4.000000000000,962.244930605064,116.594209893754,0.145407817062,777.242804644236,0.769895374904,0.573380378146,0.397641738879,171.328093479510,3.375000000000,杭州市、龙泉市、文成县、天台县,宁波市、海盐县、长兴县、常山县,温州市、平湖市、淳安县、嵊泗县,嘉兴市、武义县、泰顺县、龙游县,湖州市、嵊州市、乐清市、江山市,绍兴市、云和县、平阳县、临海市,金华市、海宁市、诸暨市、玉环市,衢州市、东阳市、余姚市、岱山县,舟山市、桐乡市、慈溪市、德清县,台州市、遂昌县、苍南县、宁海县,丽水市、义乌市、建德市、安吉县,青田县、永康市、龙港市、开化县,庆元县、嘉善县、瑞安市、象山县,景宁畲族自治县、浦江县、桐庐县、三门县,缙云县、兰溪市、新昌县、温岭市,松阳县、磐安县、永嘉县、仙居县
P0007,S0546,0.587898189544,0,0.000000000000,0.000000000000,4.000000000000,683.947279208421,102.386315837847,0.124614013178,732.800660003473,0.742823746683,0.550999849266,0.287403444913,159.968646882199,3.062500000000,杭州市、磐安县、龙泉市、嵊泗县,宁波市、瑞安市、青田县、开化县,温州市、武义县、松阳县、临海市,嘉兴市、龙港市、三门县、岱山县,湖州市、兰溪市、缙云县、常山县,绍兴市、义乌市、平湖市、德清县,金华市、文成县、景宁畲族自治县、仙居县,衢州市、永康市、桐乡市、安吉县,舟山市、泰顺县、天台县、慈溪市,台州市、苍南县、遂昌县、象山县,丽水市、浦江县、海盐县、江山市,诸暨市、乐清市、庆元县、玉环市,建德市、东阳市、云和县、龙游县,淳安县、永嘉县、嘉善县、长兴县,桐庐县、新昌县、海宁市、宁海县,嵊州市、平阳县、温岭市、余姚市
P0008,S2152,0.587101061576,0,0.000000000000,0.000000000000,4.000000000000,423.433783865937,75.816899334827,0.128485923994,770.638878998738,0.800233526479,0.624801817434,0.382763243658,170.971451154808,3.375000000000,杭州市、临海市、平阳县、松阳县,宁波市、东阳市、开化县、长兴县,温州市、象山县、诸暨市、建德市,嘉兴市、三门县、苍南县、青田县,湖州市、余姚市、海盐县、岱山县,绍兴市、玉环市、文成县、景宁畲族自治县,金华市、天台县、泰顺县、庆元县,衢州市、武义县、龙港市、遂昌县,舟山市、仙居县、龙游县、桐庐县,台州市、慈溪市、乐清市、淳安县,丽水市、海宁市、嵊州市、嵊泗县,义乌市、桐乡市、瑞安市、云和县,浦江县、嘉善县、新昌县、缙云县,兰溪市、温岭市、常山县、安吉县,磐安县、平湖市、江山市、德清县,永康市、宁海县、永嘉县、龙泉市
P0009,S2133,0.586835296263,0,0.000000000000,0.000000000000,4.000000000000,885.744343189747,100.277008322140,0.147824597162,773.934053599141,0.795333405267,0.586306372954,0.417752957682,169.485220483985,3.375000000000,杭州市、临海市、宁海县、嵊泗县,宁波市、温岭市、庆元县、岱山县,温州市、玉环市、永康市、嵊州市,嘉兴市、建德市、遂昌县、常山县,湖州市、天台县、永嘉县、缙云县,绍兴市、淳安县、慈溪市、江山市,金华市、龙港市、云和县、安吉县,衢州市、平阳县、兰溪市、龙泉市,舟山市、仙居县、余姚市、长兴县,台州市、泰顺县、武义县、龙游县,丽水市、桐庐县、东阳市、开化县,桐乡市、文成县、磐安县、松阳县,海盐县、乐清市、浦江县、景宁畲族自治县,海宁市、瑞安市、义乌市、德清县,平湖市、三门县、象山县、诸暨市,嘉善县、苍南县、青田县、新昌县
P0010,S0390,0.582700568218,0,0.000000000000,0.000000000000,4.000000000000,696.697257935035,87.965690668921,0.128751309595,778.915384661734,0.817228857665,0.650772273417,0.324174579923,174.186218496391,3.500000000000,杭州市、德清县、海盐县、江山市,宁波市、庆元县、苍南县、常山县,温州市、三门县、海宁市、余姚市,嘉兴市、长兴县、东阳市、瑞安市,湖州市、景宁畲族自治县、泰顺县、慈溪市,绍兴市、临海市、桐乡市、宁海县,金华市、温岭市、乐清市、新昌县,衢州市、建德市、义乌市、文成县,舟山市、安吉县、平湖市、嵊州市,台州市、青田县、浦江县、岱山县,丽水市、玉环市、嘉善县、龙游县,松阳县、仙居县、磐安县、嵊泗县,云和县、淳安县、平阳县、开化县,缙云县、桐庐县、武义县、永嘉县,龙泉市、天台县、兰溪市、诸暨市,遂昌县、永康市、龙港市、象山县
