group,slot,team_id,team_name,level,parent_city,region
G01,1,T01,杭州市,city,杭州市,浙北
G01,2,T42,江山市,county,衢州市,浙西
G01,3,T36,东阳市,county,金华市,浙中
G01,4,T24,海盐县,county,嘉兴市,浙北
G02,1,T05,宁波市,city,宁波市,浙东
G02,2,T51,临海市,county,台州市,浙南
G02,3,T35,义乌市,county,金华市,浙中
G02,4,T27,长兴县,county,湖州市,浙北
G03,1,T10,温州市,city,温州市,浙南
G03,2,T44,开化县,county,衢州市,浙西
G03,3,T64,景宁畲族自治县,county,丽水市,浙西南
G03,4,T37,永康市,county,金华市,浙中
G04,1,T19,嘉兴市,city,嘉兴市,浙北
G04,2,T62,云和县,county,丽水市,浙西南
G04,3,T17,文成县,county,温州市,浙南
G04,4,T45,龙游县,county,衢州市,浙西
G05,1,T25,湖州市,city,湖州市,浙北
G05,2,T40,磐安县,county,金华市,浙中
G05,3,T61,松阳县,county,丽水市,浙西南
G05,4,T13,龙港市,county,温州市,浙南
G06,1,T29,绍兴市,city,绍兴市,浙东
G06,2,T60,遂昌县,county,丽水市,浙西南
G06,3,T47,岱山县,county,舟山市,浙东
G06,4,T18,泰顺县,county,温州市,浙南
G07,1,T33,金华市,city,金华市,浙中
G07,2,T23,嘉善县,county,嘉兴市,浙北
G07,3,T15,平阳县,county,温州市,浙南
G07,4,T57,龙泉市,county,丽水市,浙西南
G08,1,T41,衢州市,city,衢州市,浙西
G08,2,T28,安吉县,county,湖州市,浙北
G08,3,T39,浦江县,county,金华市,浙中
G08,4,T31,嵊州市,county,绍兴市,浙东
G09,1,T46,舟山市,city,舟山市,浙东
G09,2,T07,慈溪市,county,宁波市,浙东
G09,3,T54,天台县,county,台州市,浙南
G09,4,T22,桐乡市,county,嘉兴市,浙北
G10,1,T49,台州市,city,台州市,浙南
G10,2,T58,青田县,county,丽水市,浙西南
G10,3,T16,苍南县,county,温州市,浙南
G10,4,T26,德清县,county,湖州市,浙北
G11,1,T56,丽水市,city,丽水市,浙西南
G11,2,T50,温岭市,county,台州市,浙南
G11,3,T12,乐清市,county,温州市,浙南
G11,4,T03,桐庐县,county,杭州市,浙北
G12,1,T38,武义县,county,金华市,浙中
G12,2,T53,三门县,county,台州市,浙南
G12,3,T21,平湖市,county,嘉兴市,浙北
G12,4,T08,象山县,county,宁波市,浙东
G13,1,T32,新昌县,county,绍兴市,浙东
G13,2,T20,海宁市,county,嘉兴市,浙北
G13,3,T43,常山县,county,衢州市,浙西
G13,4,T04,淳安县,county,杭州市,浙北
G14,1,T06,余姚市,county,宁波市,浙东
G14,2,T48,嵊泗县,county,舟山市,浙东
G14,3,T11,瑞安市,county,温州市,浙南
G14,4,T59,缙云县,county,丽水市,浙西南
G15,1,T14,永嘉县,county,温州市,浙南
G15,2,T34,兰溪市,county,金华市,浙中
G15,3,T52,玉环市,county,台州市,浙南
G15,4,T09,宁海县,county,宁波市,浙东
G16,1,T55,仙居县,county,台州市,浙南
G16,2,T30,诸暨市,county,绍兴市,浙东
G16,3,T63,庆元县,county,丽水市,浙西南
G16,4,T02,建德市,county,杭州市,浙北
