pool_id,source_scheme_id,topsis_score,hard_violations,same_city_repeat_index,pair_conflict_index,admin_diversity,sport_variance,sport_range,competition_suspense,hot_match_index,eco_cv,pop_cv,tour_cv,avg_inner_distance_km,geo_cover,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16
P0001,S0390,0.629810068446,0,0.000000000000,0.000000000000,4.000000000000,620.374366236323,89.501140375406,0.185431687811,862.331575505883,0.638419721381,0.455906087143,0.324174579923,174.186218496391,3.500000000000,杭州市、德清县、海盐县、江山市,宁波市、庆元县、苍南县、常山县,温州市、三门县、海宁市、余姚市,嘉兴市、长兴县、东阳市、瑞安市,湖州市、景宁畲族自治县、泰顺县、慈溪市,绍兴市、临海市、桐乡市、宁海县,金华市、温岭市、乐清市、新昌县,衢州市、建德市、义乌市、文成县,舟山市、安吉县、平湖市、嵊州市,台州市、青田县、浦江县、岱山县,丽水市、玉环市、嘉善县、龙游县,松阳县、仙居县、磐安县、嵊泗县,云和县、淳安县、平阳县、开化县,缙云县、桐庐县、武义县、永嘉县,龙泉市、天台县、兰溪市、诸暨市,遂昌县、永康市、龙港市、象山县
P0002,S1311,0.627378454497,0,0.000000000000,0.000000000000,4.000000000000,547.001164259881,83.732756958424,0.180268073409,848.120955186958,0.598288746672,0.420928571592,0.305489754373,177.200982514870,3.562500000000,杭州市、龙港市、武义县、江山市,宁波市、乐清市、浦江县、德清县,温州市、临海市、义乌市、长兴县,嘉兴市、泰顺县、岱山县、景宁畲族自治县,湖州市、桐庐县、东阳市、缙云县,绍兴市、仙居县、嵊泗县、安吉县,金华市、永嘉县、玉环市、遂昌县,衢州市、文成县、兰溪市、象山县,舟山市、瑞安市、青田县、开化县,台州市、嵊州市、磐安县、龙泉市,丽水市、建德市、永康市、龙游县,海宁市、淳安县、新昌县、常山县,平湖市、平阳县、庆元县、宁海县,嘉善县、苍南县、三门县、松阳县,桐乡市、天台县、诸暨市、余姚市,海盐县、温岭市、云和县、慈溪市
P0003,S0176,0.621676010147,0,0.000000000000,0.000000000000,4.000000000000,663.505170038862,86.395930806325,0.182984216741,877.307988530049,0.680675681288,0.474903625643,0.359605020266,168.963628262220,3.312500000000,杭州市、永康市、泰顺县、岱山县,宁波市、温岭市、平阳县、松阳县,温州市、东阳市、嘉善县、龙泉市,嘉兴市、玉环市、永嘉县、庆元县,湖州市、嵊州市、桐庐县、象山县,绍兴市、义乌市、海盐县、德清县,金华市、建德市、青田县、宁海县,衢州市、磐安县、龙港市、云和县,舟山市、三门县、淳安县、长兴县,台州市、兰溪市、文成县、景宁畲族自治县,丽水市、天台县、海宁市、安吉县,开化县、浦江县、苍南县、遂昌县,江山市、诸暨市、乐清市、余姚市,常山县、仙居县、平湖市、慈溪市,龙游县、武义县、桐乡市、缙云县,新昌县、临海市、瑞安市、嵊泗县
P0004,S1945,0.614751878316,0,0.000000000000,0.000000000000,4.000000000000,577.079181784285,77.066355440960,0.183951957269,856.814310360911,0.633532405630,0.479823536642,0.295063027903,178.797844773480,3.375000000000,杭州市、乐清市、临海市、新昌县,宁波市、龙港市、仙居县、磐安县,温州市、慈溪市、三门县、常山县,嘉兴市、景宁畲族自治县、平阳县、开化县,湖州市、缙云县、苍南县、兰溪市,绍兴市、泰顺县、象山县、东阳市,金华市、长兴县、永嘉县、龙游县,衢州市、遂昌县、嵊州市、永康市,舟山市、龙泉市、温岭市、义乌市,台州市、安吉县、岱山县、江山市,丽水市、文成县、天台县、浦江县,嘉善县、青田县、嵊泗县、诸暨市,海盐县、云和县、余姚市、淳安县,桐乡市、松阳县、宁海县、建德市,海宁市、德清县、玉环市、桐庐县,平湖市、庆元县、瑞安市、武义县
P0005,S1458,0.613022872325,0,0.000000000000,0.000000000000,4.000000000000,741.351011164246,89.934085231007,0.187991376797,907.986798743049,0.748747647265,0.528424774294,0.411698550120,164.485074327552,3.437500000000,杭州市、泰顺县、慈溪市、长兴县,宁波市、临海市、景宁畲族自治县、德清县,温州市、天台县、嵊州市、海盐县,嘉兴市、玉环市、岱山县、建德市,湖州市、三门县、诸暨市、海宁市,绍兴市、兰溪市、宁海县、桐庐县,金华市、龙泉市、新昌县、安吉县,衢州市、永康市、象山县、桐乡市,舟山市、义乌市、余姚市、平湖市,台州市、永嘉县、遂昌县、常山县,丽水市、苍南县、武义县、江山市,乐清市、浦江县、云和县、开化县,龙港市、东阳市、庆元县、龙游县,平阳县、磐安县、松阳县、淳安县,瑞安市、温岭市、青田县、嵊泗县,文成县、仙居县、缙云县、嘉善县
P0006,S1054,0.612806438697,0,0.000000000000,0.000000000000,4.000000000000,474.211638140387,82.215723664431,0.172321065506,860.122857210340,0.631301571532,0.455905583767,0.304840872315,179.803899209959,3.500000000000,杭州市、东阳市、乐清市、长兴县,宁波市、平湖市、嵊州市、泰顺县,温州市、遂昌县、临海市、慈溪市,嘉兴市、缙云县、玉环市、安吉县,湖州市、义乌市、松阳县、龙游县,绍兴市、海盐县、三门县、江山市,金华市、嘉善县、仙居县、岱山县,衢州市、云和县、永嘉县、宁海县,舟山市、海宁市、温岭市、文成县,台州市、磐安县、青田县、瑞安市,丽水市、武义县、诸暨市、余姚市,淳安县、桐乡市、新昌县、常山县,桐庐县、庆元县、苍南县、开化县,永康市、景宁畲族自治县、天台县、德清县,建德市、兰溪市、龙港市、象山县,浦江县、龙泉市、平阳县、嵊泗县
P0007,S1129,0.611931200290,0,0.000000000000,0.000000000000,4.000000000000,688.976203142993,91.450821966076,0.194453168379,859.692604233549,0.647230134713,0.470887813609,0.320177150542,177.098938088897,3.500000000000,杭州市、浦江县、乐清市、诸暨市,宁波市、磐安县、龙港市、青田县,温州市、武义县、景宁畲族自治县、开化县,嘉兴市、桐庐县、仙居县、德清县,湖州市、平阳县、临海市、江山市,绍兴市、义乌市、泰顺县、遂昌县,金华市、象山县、温岭市、缙云县,衢州市、苍南县、玉环市、新昌县,舟山市、余姚市、永嘉县、庆元县,台州市、淳安县、岱山县、长兴县,丽水市、永康市、瑞安市、龙游县,海盐县、宁海县、三门县、松阳县,桐乡市、慈溪市、天台县、常山县,海宁市、东阳市、龙泉市、安吉县,平湖市、建德市、嵊泗县、云和县,嘉善县、兰溪市、文成县、嵊州市
P0008,S0589,0.611603846464,0,0.000000000000,0.000000000000,4.000000000000,632.993802703102,98.920116800519,0.164537316266,842.668198103175,0.586219047987,0.413198624829,0.293796395474,163.150093852956,3.312500000000,杭州市、苍南县、江山市、松阳县,宁波市、兰溪市、嘉善县、庆元县,温州市、永康市、诸暨市、青田县,嘉兴市、安吉县、新昌县、玉环市,湖州市、东阳市、海宁市、桐庐县,绍兴市、乐清市、开化县、遂昌县,金华市、文成县、常山县、云和县,衢州市、永嘉县、嵊泗县、龙泉市,舟山市、磐安县、淳安县、温岭市,台州市、龙港市、武义县、景宁畲族自治县,丽水市、泰顺县、龙游县、天台县,象山县、瑞安市、岱山县、临海市,宁海县、浦江县、嵊州市、三门县,慈溪市、义乌市、平湖市、建德市,长兴县、平阳县、海盐县、缙云县,余姚市、德清县、桐乡市、仙居县
P0009,S0912,0.607044506979,0,0.000000000000,0.000000000000,4.000000000000,530.916246025769,82.682119356059,0.176191729102,853.361664653601,0.610663431903,0.433432920592,0.333018061540,178.912906696721,3.500000000000,杭州市、云和县、苍南县、常山县,宁波市、乐清市、三门县、新昌县,温州市、景宁畲族自治县、义乌市、开化县,嘉兴市、宁海县、武义县、临海市,湖州市、象山县、泰顺县、嵊泗县,绍兴市、遂昌县、平阳县、仙居县,金华市、青田县、桐庐县、龙游县,衢州市、龙泉市、永康市、嵊州市,舟山市、慈溪市、永嘉县、长兴县,台州市、松阳县、岱山县、德清县,丽水市、龙港市、建德市、玉环市,海宁市、缙云县、兰溪市、天台县,平湖市、庆元县、东阳市、诸暨市,海盐县、余姚市、浦江县、温岭市,嘉善县、文成县、磐安县、安吉县,桐乡市、瑞安市、淳安县、江山市
P0010,S0248,0.606743478901,0,0.000000000000,0.000000000000,4.000000000000,426.652515947408,63.613101374031,0.163811236001,847.340785571968,0.608185361195,0.438970409553,0.307600679948,178.109986116366,3.375000000000,杭州市、苍南县、江山市、遂昌县,宁波市、海盐县、德清县、新昌县,温州市、三门县、常山县、诸暨市,嘉兴市、文成县、义乌市、青田县,湖州市、宁海县、平阳县、景宁畲族自治县,绍兴市、平湖市、东阳市、岱山县,金华市、慈溪市、瑞安市、龙泉市,衢州市、象山县、安吉县、嵊州市,舟山市、海宁市、龙游县、庆元县,台州市、永嘉县、浦江县、云和县,丽水市、泰顺县、开化县、淳安县,临海市、桐乡市、武义县、建德市,仙居县、余姚市、兰溪市、松阳县,天台县、龙港市、永康市、缙云县,玉环市、乐清市、长兴县、桐庐县,温岭市、嘉善县、磐安县、嵊泗县
