venue,region,host_groups,group_teams,avg_distance_km,max_distance_km
丽水市,浙西南,G03,温州市、开化县、景宁畲族自治县、永康市,72.17,104.72
丽水市,浙西南,G15,永嘉县、兰溪市、玉环市、宁海县,130.72,235.07
义乌市,浙中,G04,嘉兴市、云和县、文成县、龙游县,150.71,213.56
义乌市,浙中,G07,金华市、嘉善县、平阳县、龙泉市,122.75,190.08
嘉兴市,浙北,G02,宁波市、临海市、义乌市、长兴县,151.82,214.79
嘉兴市,浙北,G13,新昌县、海宁市、常山县、淳安县,113.87,287.35
宁波市,浙东,G09,舟山市、慈溪市、天台县、桐乡市,92.67,156.18
宁波市,浙东,G16,仙居县、诸暨市、庆元县、建德市,157.45,226.23
嵊州市,浙东,G12,武义县、三门县、平湖市、象山县,131.90,165.78
嵊州市,浙东,G14,余姚市、嵊泗县、瑞安市、缙云县,158.34,194.17
杭州市,浙北,G01,杭州市、江山市、东阳市、海盐县,102.15,175.43
杭州市,浙北,G08,衢州市、安吉县、浦江县、嵊州市,121.11,193.19
温州市,浙南,G06,绍兴市、遂昌县、岱山县、泰顺县,150.64,254.54
温州市,浙南,G11,丽水市、温岭市、乐清市、桐庐县,120.73,238.41
衢州市,浙西,G05,湖州市、磐安县、松阳县、龙港市,160.56,246.65
衢州市,浙西,G10,台州市、青田县、苍南县、德清县,209.78,260.61
