team,team_level,parent_city,admin_type,source
杭州市,city,杭州市,副省级城市,2026problem.pdf B题
宁波市,city,宁波市,副省级城市,2026problem.pdf B题
温州市,city,温州市,地级市,2026problem.pdf B题
嘉兴市,city,嘉兴市,地级市,2026problem.pdf B题
湖州市,city,湖州市,地级市,2026problem.pdf B题
绍兴市,city,绍兴市,地级市,2026problem.pdf B题
金华市,city,金华市,地级市,2026problem.pdf B题
衢州市,city,衢州市,地级市,2026problem.pdf B题
舟山市,city,舟山市,地级市,2026problem.pdf B题
台州市,city,台州市,地级市,2026problem.pdf B题
丽水市,city,丽水市,地级市,2026problem.pdf B题
建德市,county,杭州市,县级市,2026problem.pdf B题
桐庐县,county,杭州市,县,2026problem.pdf B题
淳安县,county,杭州市,县,2026problem.pdf B题
余姚市,county,宁波市,县级市,2026problem.pdf B题
慈溪市,county,宁波市,县级市,2026problem.pdf B题
象山县,county,宁波市,县,2026problem.pdf B题
宁海县,county,宁波市,县,2026problem.pdf B题
瑞安市,county,温州市,县级市,2026problem.pdf B题
乐清市,county,温州市,县级市,2026problem.pdf B题
龙港市,county,温州市,县级市,2026problem.pdf B题
永嘉县,county,温州市,县,2026problem.pdf B题
平阳县,county,温州市,县,2026problem.pdf B题
苍南县,county,温州市,县,2026problem.pdf B题
文成县,county,温州市,县,2026problem.pdf B题
泰顺县,county,温州市,县,2026problem.pdf B题
海宁市,county,嘉兴市,县级市,2026problem.pdf B题
平湖市,county,嘉兴市,县级市,2026problem.pdf B题
桐乡市,county,嘉兴市,县级市,2026problem.pdf B题
嘉善县,county,嘉兴市,县,2026problem.pdf B题
海盐县,county,嘉兴市,县,2026problem.pdf B题
德清县,county,湖州市,县,2026problem.pdf B题
长兴县,county,湖州市,县,2026problem.pdf B题
安吉县,county,湖州市,县,2026problem.pdf B题
诸暨市,county,绍兴市,县级市,2026problem.pdf B题
嵊州市,county,绍兴市,县级市,2026problem.pdf B题
新昌县,county,绍兴市,县,2026problem.pdf B题
兰溪市,county,金华市,县级市,2026problem.pdf B题
义乌市,county,金华市,县级市,2026problem.pdf B题
东阳市,county,金华市,县级市,2026problem.pdf B题
永康市,county,金华市,县级市,2026problem.pdf B题
武义县,county,金华市,县,2026problem.pdf B题
浦江县,county,金华市,县,2026problem.pdf B题
磐安县,county,金华市,县,2026problem.pdf B题
江山市,county,衢州市,县级市,2026problem.pdf B题
常山县,county,衢州市,县,2026problem.pdf B题
开化县,county,衢州市,县,2026problem.pdf B题
龙游县,county,衢州市,县,2026problem.pdf B题
岱山县,county,舟山市,县,2026problem.pdf B题
嵊泗县,county,舟山市,县,2026problem.pdf B题
温岭市,county,台州市,县级市,2026problem.pdf B题
临海市,county,台州市,县级市,2026problem.pdf B题
玉环市,county,台州市,县级市,2026problem.pdf B题
三门县,county,台州市,县,2026problem.pdf B题
天台县,county,台州市,县,2026problem.pdf B题
仙居县,county,台州市,县,2026problem.pdf B题
龙泉市,county,丽水市,县级市,2026problem.pdf B题
青田县,county,丽水市,县,2026problem.pdf B题
缙云县,county,丽水市,县,2026problem.pdf B题
遂昌县,county,丽水市,县,2026problem.pdf B题
松阳县,county,丽水市,县,2026problem.pdf B题
云和县,county,丽水市,县,2026problem.pdf B题
庆元县,county,丽水市,县,2026problem.pdf B题
景宁畲族自治县,county,丽水市,自治县,2026problem.pdf B题
