team_id,name,team_level,parent_city,admin_type,gdp_source,population_source,coordinate_source,tourism_sports_source
T01,杭州市,city,杭州市,副省级城市,原模型代理值,原模型代理值,分组评价模型坐标代理,原模型代理变量
T02,宁波市,city,宁波市,副省级城市,原模型代理值,原模型代理值,分组评价模型坐标代理,原模型代理变量
T03,温州市,city,温州市,地级市,原模型代理值,原模型代理值,分组评价模型坐标代理,原模型代理变量
T04,嘉兴市,city,嘉兴市,地级市,原模型代理值,原模型代理值,分组评价模型坐标代理,原模型代理变量
T05,湖州市,city,湖州市,地级市,原模型代理值,原模型代理值,分组评价模型坐标代理,原模型代理变量
T06,绍兴市,city,绍兴市,地级市,原模型代理值,原模型代理值,分组评价模型坐标代理,原模型代理变量
T07,金华市,city,金华市,地级市,原模型代理值,原模型代理值,分组评价模型坐标代理,原模型代理变量
T08,衢州市,city,衢州市,地级市,原模型代理值,原模型代理值,分组评价模型坐标代理,原模型代理变量
T09,舟山市,city,舟山市,地级市,原模型代理值,原模型代理值,分组评价模型坐标代理,原模型代理变量
T10,台州市,city,台州市,地级市,原模型代理值,原模型代理值,分组评价模型坐标代理,原模型代理变量
T11,丽水市,city,丽水市,地级市,原模型代理值,原模型代理值,分组评价模型坐标代理,原模型代理变量
T12,建德市,county,杭州市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T13,桐庐县,county,杭州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T14,淳安县,county,杭州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T15,余姚市,county,宁波市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T16,慈溪市,county,宁波市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T17,象山县,county,宁波市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T18,宁海县,county,宁波市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T19,瑞安市,county,温州市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T20,乐清市,county,温州市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T21,龙港市,county,温州市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T22,永嘉县,county,温州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T23,平阳县,county,温州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T24,苍南县,county,温州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T25,文成县,county,温州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T26,泰顺县,county,温州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T27,海宁市,county,嘉兴市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T28,平湖市,county,嘉兴市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T29,桐乡市,county,嘉兴市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T30,嘉善县,county,嘉兴市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T31,海盐县,county,嘉兴市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T32,德清县,county,湖州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T33,长兴县,county,湖州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T34,安吉县,county,湖州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T35,诸暨市,county,绍兴市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T36,嵊州市,county,绍兴市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T37,新昌县,county,绍兴市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T38,兰溪市,county,金华市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T39,义乌市,county,金华市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T40,东阳市,county,金华市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T41,永康市,county,金华市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T42,武义县,county,金华市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T43,浦江县,county,金华市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T44,磐安县,county,金华市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T45,江山市,county,衢州市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T46,常山县,county,衢州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T47,开化县,county,衢州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T48,龙游县,county,衢州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T49,岱山县,county,舟山市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T50,嵊泗县,county,舟山市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T51,温岭市,county,台州市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T52,临海市,county,台州市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T53,玉环市,county,台州市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T54,三门县,county,台州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T55,天台县,county,台州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T56,仙居县,county,台州市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T57,龙泉市,county,丽水市,县级市,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T58,青田县,county,丽水市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T59,缙云县,county,丽水市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T60,遂昌县,county,丽水市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T61,松阳县,county,丽水市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T62,云和县,county,丽水市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
T63,庆元县,county,丽水市,县,浙江统计年鉴2024表17-25,浙江统计年鉴2024表17-26,分组评价模型坐标代理,原模型代理变量
