team_a_id,team_a_name,team_b_id,team_b_name
T01,杭州市,T02,宁波市
T01,杭州市,T03,温州市
T01,杭州市,T04,嘉兴市
T01,杭州市,T05,湖州市
T01,杭州市,T06,绍兴市
T01,杭州市,T07,金华市
T01,杭州市,T08,衢州市
T01,杭州市,T09,舟山市
T01,杭州市,T10,台州市
T01,杭州市,T11,丽水市
T01,杭州市,T12,建德市
T01,杭州市,T13,桐庐县
T01,杭州市,T14,淳安县
T02,宁波市,T03,温州市
T02,宁波市,T04,嘉兴市
T02,宁波市,T05,湖州市
T02,宁波市,T06,绍兴市
T02,宁波市,T07,金华市
T02,宁波市,T08,衢州市
T02,宁波市,T09,舟山市
T02,宁波市,T10,台州市
T02,宁波市,T11,丽水市
T02,宁波市,T15,余姚市
T02,宁波市,T16,慈溪市
T02,宁波市,T17,象山县
T02,宁波市,T18,宁海县
T03,温州市,T04,嘉兴市
T03,温州市,T05,湖州市
T03,温州市,T06,绍兴市
T03,温州市,T07,金华市
T03,温州市,T08,衢州市
T03,温州市,T09,舟山市
T03,温州市,T10,台州市
T03,温州市,T11,丽水市
T03,温州市,T19,瑞安市
T03,温州市,T20,乐清市
T03,温州市,T21,龙港市
T03,温州市,T22,永嘉县
T03,温州市,T23,平阳县
T03,温州市,T24,苍南县
T03,温州市,T25,文成县
T03,温州市,T26,泰顺县
T04,嘉兴市,T05,湖州市
T04,嘉兴市,T06,绍兴市
T04,嘉兴市,T07,金华市
T04,嘉兴市,T08,衢州市
T04,嘉兴市,T09,舟山市
T04,嘉兴市,T10,台州市
T04,嘉兴市,T11,丽水市
T04,嘉兴市,T27,海宁市
T04,嘉兴市,T28,平湖市
T04,嘉兴市,T29,桐乡市
T04,嘉兴市,T30,嘉善县
T04,嘉兴市,T31,海盐县
T05,湖州市,T06,绍兴市
T05,湖州市,T07,金华市
T05,湖州市,T08,衢州市
T05,湖州市,T09,舟山市
T05,湖州市,T10,台州市
T05,湖州市,T11,丽水市
T05,湖州市,T32,德清县
T05,湖州市,T33,长兴县
T05,湖州市,T34,安吉县
T06,绍兴市,T07,金华市
T06,绍兴市,T08,衢州市
T06,绍兴市,T09,舟山市
T06,绍兴市,T10,台州市
T06,绍兴市,T11,丽水市
T06,绍兴市,T35,诸暨市
T06,绍兴市,T36,嵊州市
T06,绍兴市,T37,新昌县
T07,金华市,T08,衢州市
T07,金华市,T09,舟山市
T07,金华市,T10,台州市
T07,金华市,T11,丽水市
T07,金华市,T38,兰溪市
T07,金华市,T39,义乌市
T07,金华市,T40,东阳市
T07,金华市,T41,永康市
T07,金华市,T42,武义县
T07,金华市,T43,浦江县
T07,金华市,T44,磐安县
T08,衢州市,T09,舟山市
T08,衢州市,T10,台州市
T08,衢州市,T11,丽水市
T08,衢州市,T45,江山市
T08,衢州市,T46,常山县
T08,衢州市,T47,开化县
T08,衢州市,T48,龙游县
T09,舟山市,T10,台州市
T09,舟山市,T11,丽水市
T09,舟山市,T49,岱山县
T09,舟山市,T50,嵊泗县
T10,台州市,T11,丽水市
T10,台州市,T51,温岭市
T10,台州市,T52,临海市
T10,台州市,T53,玉环市
T10,台州市,T54,三门县
T10,台州市,T55,天台县
T10,台州市,T56,仙居县
T11,丽水市,T57,龙泉市
T11,丽水市,T58,青田县
T11,丽水市,T59,缙云县
T11,丽水市,T60,遂昌县
T11,丽水市,T61,松阳县
T11,丽水市,T62,云和县
T11,丽水市,T63,庆元县
T11,丽水市,T64,景宁畲族自治县
T12,建德市,T13,桐庐县
T12,建德市,T14,淳安县
T13,桐庐县,T14,淳安县
T15,余姚市,T16,慈溪市
T15,余姚市,T17,象山县
T15,余姚市,T18,宁海县
T16,慈溪市,T17,象山县
T16,慈溪市,T18,宁海县
T17,象山县,T18,宁海县
